"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"444",1,2,2,2,4,2,3,2,1964,53,2,7,12,60,1,1
"445",1,2,2,2,2,1,3,1,1973,44,2,7,12,40,1,2
"446",2,2,2,2,2,1,2,2,1990,27,2,7,12,40,3,1
"447",1,2,2,2,4,2,2,1,1957,60,2,5,9,60,1,1
"448",2,2,2,2,4,2,2,2,1966,51,2,7,12,40,1,1
"449",1,2,2,2,3,2,2,1,1953,64,2,7,12,40,1,1
"450",1,2,2,2,2,1,3,2,1950,67,4,7,12,10,4,1
"451",2,2,2,2,3,1,2,1,1947,70,1,7,12,40,1,2
"452",1,2,2,2,4,2,2,2,1976,41,2,2,6,40,1,2
"453",1,2,2,2,3,2,3,1,1979,38,2,7,12,40,1,2
"454",1,2,2,2,4,1,3,2,1959,58,2,1,-1,40,1,1
"455",1,2,2,2,2,1,3,1,1964,53,2,7,12,40,1,2
"456",1,2,2,2,3,1,3,2,1977,40,2,6,11,40,1,3
"457",1,2,2,2,2,2,3,1,1965,52,2,5,9,40,1,2
"458",1,2,2,2,4,8,2,2,1946,71,2,1,-1,40,1,1
"459",1,2,2,2,2,1,3,1,1966,51,2,5,9,40,1,2
"460",2,2,2,2,4,2,2,2,1944,73,2,2,2,40,1,1
"461",1,2,2,2,3,8,8,1,1950,67,2,3,6,40,1,2
"462",1,2,2,2,2,8,3,2,1970,47,2,7,15,40,1,2
"463",1,2,2,2,3,8,3,1,1955,62,2,3,6,40,1,2
"464",1,2,2,2,3,8,2,2,1964,53,2,3,6,40,1,2
"465",1,2,2,2,2,8,3,1,1970,47,2,9,14,40,1,2
"466",1,2,2,2,3,8,2,2,1946,71,4,3,6,40,1,2
"467",1,2,2,2,2,8,3,1,1949,68,1,9,16,40,1,2
"468",1,2,2,2,3,8,3,2,1982,35,2,3,8,40,1,2
"469",1,2,2,2,2,8,3,1,1960,57,2,5,6,40,1,2
"470",1,2,2,2,2,8,3,2,1973,44,4,5,9,40,1,2
"471",2,2,2,2,4,2,3,1,1964,53,2,7,12,40,1,2
"472",1,2,2,2,4,2,3,2,1960,57,2,7,12,40,1,2
"473",1,2,2,2,3,2,3,1,1985,32,1,5,9,40,3,3
"474",1,2,2,2,4,2,2,2,1981,36,2,3,6,40,3,2
"475",1,2,2,2,3,2,3,1,1958,59,2,10,22,40,1,2
"476",1,2,2,2,4,1,2,2,1955,62,2,3,6,40,1,1
"477",1,2,2,2,4,2,3,1,1948,69,2,10,23,20,4,2
"478",1,2,2,2,4,1,3,2,1968,49,2,7,12,40,1,1
"479",1,2,2,2,3,2,3,1,1958,59,5,7,12,40,1,2
"480",1,2,2,2,2,2,3,2,1983,34,5,7,12,40,1,3
"481",1,2,2,2,3,2,2,1,1969,48,2,9,18,40,1,1
"482",1,2,2,2,2,2,2,2,1970,47,2,3,6,40,1,1
"483",1,2,2,2,4,2,3,1,1962,55,2,2,3,40,4,3
"484",1,2,2,2,4,7,8,2,1945,72,4,2,5,40,1,2
"485",1,2,2,2,2,1,3,1,1963,54,2,7,12,40,1,9
"486",8,2,2,2,1,2,3,2,1997,20,1,3,6,40,1,1
"487",1,2,2,2,4,2,3,1,1948,69,2,3,6,40,1,1
"488",1,2,2,2,2,2,3,2,1976,41,2,3,6,40,1,1
"489",1,2,2,2,3,1,2,1,1972,45,2,3,6,40,1,1
"490",1,2,2,2,3,2,3,2,1976,41,2,3,6,40,1,1
"491",1,2,2,2,3,3,2,1,1950,67,2,3,6,40,1,2
"492",1,2,2,2,4,3,3,2,1993,24,2,7,12,40,1,2
"493",1,2,2,2,3,2,2,1,1994,23,1,7,12,40,1,2
"494",1,2,2,2,4,3,3,2,1972,45,2,2,5,40,1,2
"495",1,2,2,2,2,2,3,1,1964,53,2,9,16,40,1,2
"496",1,2,2,2,3,2,3,2,1976,41,2,7,12,40,1,2
"497",1,2,2,2,3,3,3,1,1953,64,2,3,6,40,1,2
"498",1,2,2,2,3,2,3,2,1959,58,2,2,6,40,1,2
